disease_name,symptoms,Description,precautions,tablets,message_hinglish
Acne,skin rash pus filled pimples blackheads scurring,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Acne ho sakta hai.
Acne,skin rash pus filled pimples blackheads,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Acne ho sakta hai.
Acne,skin rash pus filled pimples scurring,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Acne ho sakta hai.
Acne,skin rash blackheads scurring,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Acne ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,bladder discomfort foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort foul smell of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,bladder discomfort foul smell of urine continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Urinary tract infection,burning micturition bladder discomfort continuous feel of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Urinary tract infection ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,joint pain skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Psoriasis ho sakta hai.
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,high fever blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash high fever red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash high fever blister yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash high fever blister red sore around nose,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Impetigo,skin rash blister red sore around nose yellow crust ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Impetigo ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Fungal infection ho sakta hai.
Allergy,continuous sneezing shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting cough,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,acidity ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
